county,Percent_Acetaminophen_codeine,Percent_ACD,Percent_Buprenorphine,Percent_BACC,Percent_Butorphanol_tartrate,Percent_Codeine_sulfate,Percent_CBAC,Percent_Fentanyl,Percent_Hydrocodone_Bitartrate,Percent_Hydrocodone_Acetaminophen,Percent_Hydrocodone_Ibuprofen,Percent_Hydromorphone,Percent_Meperidine,Percent_Methadone,Percent_Morphine,Percent_Morphine_Naltrexone,Percent_Oxycodone,Percent_Oxycodone_Acetaminophen,Percent_Oxycodone_Aspirin,Percent_Oxycodone_Myristate,Percent_Oxymorphone,Percent_Pentazocine_Naloxone,Percent_Tapentadol,Percent_Tramadol,Percent_Tramadol_Acetaminophen
ANDERSON,1.91502780803853,0.0,0.034401697150392756,0.03726850524625881,0.034401697150392756,0.0,0.03726850524625881,1.4276704317412992,0.0,40.75454389083195,0.03153488905452669,0.07167020239665157,0.0,0.0,5.604609827418153,0.045868929533857,10.57278825755404,26.936528868757524,0.0,0.04300212143799094,2.0526345966401007,0.0,0.0,10.320509145117827,0.08027062668424975
BEDFORD,0.579080709373869,0.0,0.1327059958981783,0.0,0.0,0.0,0.0,2.9798528169863676,0.14477017734346725,56.59307515985041,0.0,0.31366871757751236,0.0,0.0,2.26806611171432,0.0,5.259983110145977,13.234407045481964,0.0,0.0,0.0,0.0,0.0,17.770539268910603,0.7238508867173362
BENTON,0.4105626574601101,0.0,0.5691891387515163,0.0,0.0,0.0,0.0,3.863021367920127,0.1866193897545955,44.639358029299245,0.0,0.12130260334048708,0.0,0.5505271997760567,10.917234300643837,0.2612671456564337,13.193990855649902,18.23271437902398,0.0,0.0,0.8211253149202202,0.0,1.0637305216011943,5.169357096202296,0.0
BLEDSOE,4.99092558983666,0.0,0.0,0.0,0.0,0.0,0.0,0.9981851179673321,0.0,59.83061101028433,0.0,0.0,0.0,0.0,1.2099213551119177,0.0,7.199032062915911,12.099213551119178,0.0,0.0,0.0,0.0,0.0,13.67211131276467,0.0
BLOUNT,2.1278151506288387,0.0,0.11699327288680901,0.0,0.08408891488739398,0.05484059666569172,0.0,1.926732962854636,0.0,50.34001169932729,0.0,0.058496636443404505,0.0,0.04387247733255338,3.2904357999415033,0.04387247733255338,7.758116408306522,14.170810178414742,0.0,0.0,0.14989763088622404,0.0,0.0,19.461099736765135,0.3729160573267037
BRADLEY,0.3979769505016168,0.0,0.07876627145344499,0.03109194925793881,0.03731033910952657,0.0,0.0,1.8074786501948428,0.0,43.456181079512476,0.03731033910952657,1.0363983085979604,0.0,0.4808888151894536,6.065002901915264,0.14716855982091037,16.42276759804328,18.485200232153222,0.0,0.13265898350053892,1.593980598623663,0.0,0.0,9.588757151148329,0.20106127186800432
CAMPBELL,1.6482046342377052,0.0,0.0,0.0,0.0,0.0,0.0,0.4388077272970514,0.0,41.40311446460106,0.0,0.0,0.0,0.1551880986782255,2.6810081875100336,0.0,19.205865039867287,12.115374324396639,0.0,0.0,9.08653074329748,0.0,0.0,13.265906780114518,0.0
CANNON,3.553299492385787,0.0,1.5953589557650472,0.0,0.0,0.0,0.0,10.079767947788252,0.0,49.92748368382886,0.0,0.3988397389412618,0.0,0.0,4.205946337926034,0.0,5.148658448150834,11.566352429296591,0.0,0.0,0.0,0.0,0.0,13.524292965917331,0.0
CARROLL,0.8763837638376384,0.0,0.0,0.0,0.0,0.0,0.0,0.7175071750717508,0.0,61.977244772447726,0.0,0.0,0.0,0.0,7.349323493234932,0.09225092250922509,7.91820418204182,11.495489954899549,0.0,0.0,0.11275112751127511,0.0,0.0,9.240467404674046,0.22037720377203773
CARTER,2.5378450578806766,0.0,0.0,0.0,0.10685663401602849,0.0,0.0,1.282279608192342,0.0,46.91006233303651,0.09795191451469279,0.0,0.0,0.2315227070347284,2.235084594835263,0.0,10.7479964381122,14.64826357969724,0.0,0.0,0.2404274265360641,0.0,0.0,20.658949243098842,0.3027604630454141
