npi,name,nppes_provider_city,specialty_description,sum,generic_name,population,county,fipscounty
1003013160.0,WILLIAM P GRABENSTEIN,CLARKSVILLE,Family Practice,121.0,HYDROCODONE/ACETAMINOPHEN,192120.0,MONTGOMERY,47125
1003013160.0,WILLIAM P GRABENSTEIN,CLARKSVILLE,Family Practice,14.0,HYDROMORPHONE HCL,192120.0,MONTGOMERY,47125
1003013160.0,WILLIAM P GRABENSTEIN,CLARKSVILLE,Family Practice,15.0,METHADONE HCL,192120.0,MONTGOMERY,47125
1003013160.0,WILLIAM P GRABENSTEIN,CLARKSVILLE,Family Practice,15.0,MORPHINE SULFATE,192120.0,MONTGOMERY,47125
1003013160.0,WILLIAM P GRABENSTEIN,CLARKSVILLE,Family Practice,23.0,OXYCODONE HCL,192120.0,MONTGOMERY,47125
1003013160.0,WILLIAM P GRABENSTEIN,CLARKSVILLE,Family Practice,77.0,OXYCODONE HCL/ACETAMINOPHEN,192120.0,MONTGOMERY,47125
1003013160.0,WILLIAM P GRABENSTEIN,CLARKSVILLE,Family Practice,50.0,TRAMADOL HCL,192120.0,MONTGOMERY,47125
1003013947.0,ROBERT J OTTO,NASHVILLE,Orthopedic Surgery,13.0,HYDROCODONE/ACETAMINOPHEN,678322.0,DAVIDSON,47037
1003013947.0,ROBERT J OTTO,NASHVILLE,Orthopedic Surgery,12.0,OXYCODONE HCL,678322.0,DAVIDSON,47037
1003013947.0,ROBERT J OTTO,NASHVILLE,Orthopedic Surgery,13.0,TRAMADOL HCL,678322.0,DAVIDSON,47037
1003031261.0,JAMES H RUBRIGHT,NASHVILLE,Hand Surgery,58.0,HYDROCODONE/ACETAMINOPHEN,678322.0,DAVIDSON,47037
1003031261.0,JAMES H RUBRIGHT,NASHVILLE,Hand Surgery,30.0,OXYCODONE HCL/ACETAMINOPHEN,678322.0,DAVIDSON,47037
1003034851.0,AMY L GUST,SEVIERVILLE,Family Practice,187.0,HYDROCODONE/ACETAMINOPHEN,95523.0,SEVIER,47155
1003034851.0,AMY L GUST,SEVIERVILLE,Family Practice,24.0,MORPHINE SULFATE,95523.0,SEVIER,47155
1003034851.0,AMY L GUST,SEVIERVILLE,Family Practice,18.0,OXYCODONE HCL,95523.0,SEVIER,47155
1003034851.0,AMY L GUST,SEVIERVILLE,Family Practice,76.0,OXYCODONE HCL/ACETAMINOPHEN,95523.0,SEVIER,47155
1003034851.0,AMY L GUST,SEVIERVILLE,Family Practice,103.0,TRAMADOL HCL,95523.0,SEVIER,47155
1003041641.0,BRADLEY R KEEL,CHATTANOOGA,Internal Medicine,54.0,HYDROCODONE/ACETAMINOPHEN,354589.0,HAMILTON,47065
1003041641.0,BRADLEY R KEEL,CHATTANOOGA,Internal Medicine,21.0,OXYCODONE HCL/ACETAMINOPHEN,354589.0,HAMILTON,47065
1003041641.0,BRADLEY R KEEL,CHATTANOOGA,Internal Medicine,33.0,TRAMADOL HCL,354589.0,HAMILTON,47065
