"fipscounty","name","total_pop","medicare_enrolled","medicaid_enrolled","pct_medicare_enrolled","pct_medicaid_enrolled"
"47001","Anderson County, Tennessee",74641,17131,16088,22.95,21.55
"47003","Bedford County, Tennessee",46458,7797,12595,16.78,27.11
"47005","Benton County, Tennessee",16002,4380,4299,27.37,26.87
"47007","Bledsoe County, Tennessee",13234,3118,3218,23.56,24.32
"47009","Blount County, Tennessee",125993,27440,22793,21.78,18.09
"47011","Bradley County, Tennessee",102666,19196,19831,18.7,19.32
"47013","Campbell County, Tennessee",39285,9951,10476,25.33,26.67
"47015","Cannon County, Tennessee",13653,2797,2859,20.49,20.94
"47017","Carroll County, Tennessee",27646,6277,6881,22.7,24.89
"47019","Carter County, Tennessee",55450,13346,13591,24.07,24.51
"47021","Cheatham County, Tennessee",39386,6303,7237,16,18.37
"47023","Chester County, Tennessee",16966,3196,4224,18.84,24.9
"47025","Claiborne County, Tennessee",30973,7695,7664,24.84,24.74
"47027","Clay County, Tennessee",7591,2071,2411,27.28,31.76
"47029","Cocke County, Tennessee",34979,8572,10399,24.51,29.73
"47031","Coffee County, Tennessee",53471,10819,11653,20.23,21.79
"47033","Crockett County, Tennessee",14342,2972,3684,20.72,25.69
"47035","Cumberland County, Tennessee",57531,18984,12853,33,22.34
"47037","Davidson County, Tennessee",671589,87546,124745,13.04,18.57
"47039","Decatur County, Tennessee",11444,2954,3222,25.81,28.15
"47041","DeKalb County, Tennessee",19143,4029,4697,21.05,24.54
"47043","Dickson County, Tennessee",50838,9278,10967,18.25,21.57
"47045","Dyer County, Tennessee",37227,7324,8365,19.67,22.47
"47047","Fayette County, Tennessee",38844,8200,6386,21.11,16.44
"47049","Fentress County, Tennessee",17709,4606,5942,26.01,33.55
"47051","Franklin County, Tennessee",41048,9227,7966,22.48,19.41
"47053","Gibson County, Tennessee",48088,9739,11849,20.25,24.64
"47055","Giles County, Tennessee",28614,6412,6123,22.41,21.4
"47057","Grainger County, Tennessee",22795,5390,5948,23.65,26.09
"47059","Greene County, Tennessee",67319,16933,16689,25.15,24.79
"47061","Grundy County, Tennessee",13179,3229,4125,24.5,31.3
"47063","Hamblen County, Tennessee",62687,13262,16292,21.16,25.99
"47065","Hamilton County, Tennessee",350600,67733,57258,19.32,16.33
"47067","Hancock County, Tennessee",6440,1673,1998,25.98,31.02
"47069","Hardeman County, Tennessee",22096,5179,6427,23.44,29.09
"47071","Hardin County, Tennessee",25398,6221,7497,24.49,29.52
"47073","Hawkins County, Tennessee",55776,13769,12778,24.69,22.91
"47075","Haywood County, Tennessee",17708,3522,5217,19.89,29.46
